English	85255
nan	25812
French	4197
Japanese	4031
Spanish	2164
Italian	2045
German	1697
Hindi	1535
Korean	1465
Cantonese	1161
Mandarin	1021
Russian	933
Swedish	765
Danish	662
Portuguese	653
Dutch	520
Polish	481
Czech	414
Norwegian	411
Thai	401
Turkish	380
Greek	283
Finnish	282
Telugu	262
Tamil	259
Hungarian	235
Hebrew	233
Malayalam	190
Serbo-Croatian	161
Filipino	159
Romanian	153
Arabic	144
Persian	133
Serbian	126
Icelandic	88
Bengali	80
Chinese	60
None	59
Slovak	58
Estonian	54
Catalan	54
Kannada	53
Indonesian	52
Bulgarian	50
Punjabi	49
Croatian	48
Slovenian	41
Georgian	36
Flemish	34
Vietnamese	29
Ukrainian	28
Malay	28
Swiss German	26
Urdu	25
Bosnian	23
Min Nan	23
Lithuanian	22
Brazilian Sign Language	22
Marathi	21
Welsh	18
Kurdish	16
Albanian	16
Afrikaans	15
Macedonian	14
Kazakh	12
Tagalog	12
Latin	12
Mongolian	11
Aboriginal	9
Sign Languages	8
Dari	8
Bambara	8
Latvian	8
Wolof	7
Nepali	7
Kirghiz	6
Zulu	6
Hokkien	6
Basque	5
Armenian	5
Sinhalese	5
American Sign Language	5
More	5
Tibetan	5
Burmese	5
Gallegan	4
Khmer	4
Amharic	4
Lao	4
Inuktitut	4
Saami	4
Maya	3
Scanian	3
Sicilian	3
Belarusian	3
Haitian	3
Romany	3
Irish	3
North American Indian	3
Luxembourgish	3
Shanghainese	2
Xhosa	2
Neapolitan	2
Oriya	2
Pushto	2
Yiddish	2
Gujarati	2
Swahili	2
Lingala	2
Tupi	2
Hmong	2
Kabuverdianu	2
Hakka	2
Tswana	2
Sanskrit	2
Faroese	2
Hawaiian	1
Turkmen	1
Fur	1
Esperanto	1
Kriolu	1
Kinyarwanda	1
Nenets	1
Hausa	1
Southern Sotho	1
Purepecha	1
Scots	1
Karen	1
Aramaic	1
Cree	1
Cherokee	1
Inupiaq	1
Dzongkha	1
Guarani	1
Occitan	1
Dyula	1
Samoan	1
Tajik	1
Ryukyuan	1
Greenlandic	1
Low German	1
East-Greenlandic	1
Sardinian	1
Djerma	1
Chechen	1
Kru	1
Tarahumara	1
Maori	1
Klingon	1
Yakut	1
Sioux	1
Russian Sign Language	1
Yoruba	1
Sindarin	1
Ukrainian Sign Language	1
Breton	1
Azerbaijani	1
